Sample	Percent	Start	End	amp_del
TCGA-13-0797-01	0	0	0	amp
TCGA-13-0764-01	0	0	0	amp
TCGA-13-0724-01	0	0	0	amp
TCGA-13-0801-01	0	0	0	amp
TCGA-13-0717-01	0	0	0	amp
TCGA-13-0760-01	0	0	0	amp
TCGA-13-0762-01	0	0	0	amp
TCGA-13-0791-02	0	0	0	amp
TCGA-09-0369-01	0	0	0	amp
TCGA-13-0758-01	0	0	0	amp
TCGA-13-0757-01	0	0	0	amp
TCGA-13-0799-01	0	0	0	amp
TCGA-13-0794-01	0	0	0	amp
TCGA-13-0730-01	0	0	0	amp
TCGA-13-0726-01	0	0	0	amp
TCGA-13-0766-01	0	0	0	amp
TCGA-13-1407-01	0	0	0	amp
TCGA-04-1350-01	0	0	0	amp
TCGA-04-1356-01	0	0	0	amp
TCGA-25-1320-01	0	0	0	amp
TCGA-25-1312-01	0	0	0	amp
TCGA-13-0900-01	0	0	0	amp
TCGA-25-1317-01	0	0	0	amp
TCGA-25-1315-01	0	0	0	amp
TCGA-04-1362-01	0	0	0	amp
TCGA-04-1367-01	0	0	0	amp
TCGA-25-1318-01	0	0	0	amp
TCGA-25-1321-01	0	0	0	amp
TCGA-13-1405-01	0	0	0	amp
TCGA-04-1348-01	0	0	0	amp
TCGA-25-1329-01	0	0	0	amp
TCGA-13-1408-01	0	0	0	amp
TCGA-13-1412-01	0	0	0	amp
TCGA-13-0901-01	0	0	0	amp
TCGA-04-1349-01	0	0	0	amp
TCGA-24-1413-01	0	0	0	amp
TCGA-13-1409-01	0	0	0	amp
TCGA-25-1323-01	0	0	0	amp
TCGA-13-0884-01	0	0	0	amp
TCGA-25-1322-01	0	0	0	amp
TCGA-13-1410-01	0	0	0	amp
TCGA-13-0893-01	0	0	0	amp
TCGA-04-1360-01	0	0	0	amp
TCGA-25-1316-01	0	0	0	amp
TCGA-04-1361-01	0	0	0	amp
TCGA-04-1371-01	0	0	0	amp
TCGA-25-1314-01	0	0	0	amp
TCGA-24-2267-01	0	0	0	amp
TCGA-24-2295-01	0	0	0	amp
TCGA-09-2050-01	0	0	0	amp
TCGA-24-2293-01	0	0	0	amp
TCGA-09-2044-01	0	0	0	amp
TCGA-24-2297-01	0	0	0	amp
TCGA-59-2352-01	0	0	0	amp
TCGA-25-2392-01	0	0	0	amp
TCGA-09-2045-01	0	0	0	amp
TCGA-24-2280-01	0	0	0	amp
